"Sygnatura czasowa","Wie alt bist du?","Wähle dein Geschlecht","Wähle eine Farbe aus!","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Ein nachträglicher menschlicher Eingriff kann die Textqualität verbessern."
"2023/11/18 5:25:35 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","1","3","4","1","4","3","1","3","2","3","3","4","2","","","","","","","","","","","","","","","","","","","","","","2","2","4","4","4","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","5","3","3","1","1","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","2","3","3","1","4","2","","","","","","","","Ja"
"2023/11/18 5:57:10 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","1","4","4","1","3","2","1","5","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","3","5","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","5","4","5","5","5","4","5","5","1","5","1","3","3","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","3","4","2","","","","","","","","Ja"
"2023/11/18 6:29:47 PM CET","zwischen 40 und 60","Weiblich","Grün","","","","","","","","","","","","","","","4","3","2","1","1","1","2","1","4","1","4","3","4","1","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","3","5","","","","","","","","","","","","","","","","","","","","","","1","5","1","5","3","1","1","5","5","1","4","2","4","1","","","","","","","","","","","","","","","","","","","","","","1","3","1","1","1","1","1","","","","","","","","Ich weiss es nicht"
"2023/11/18 6:30:59 PM CET","zwischen 40 und 60","Weiblich","Grün","","","","","","","","","","","","","","","4","3","3","4","4","2","3","1","2","2","2","3","1","2","","","","","","","","","","","","","","","","","","","","","","5","3","4","4","4","3","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","4","3","4","4","3","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","1","4","3","3","4","3","2","","","","","","","","Ja"
"2023/11/18 6:55:33 PM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","5","3","4","4","2","4","2","1","5","2","4","1","4","1","","","","","","","","","","","","","","","","","","","","","","5","5","2","3","1","2","4","","","","","","","","","","","","","","","","","","","","","","1","5","5","5","4","4","5","5","5","2","4","1","4","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","2","1","2","4","","","","","","","","Ja"
"2023/11/18 7:03:37 PM CET","zwischen 30 und 40","Weiblich","Lila","","","","","","","","5","5","4","4","2","2","4","","","","","","","","","","","","","","","","","","","","","","1","5","2","4","1","2","4","5","5","5","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","5","4","5","1","4","4","","","","","","","","","","","","","","","","","","","","","","5","5","4","4","1","4","4","1","5","5","5","5","5","5","","","","","","","","","","","","","","","Ja"
"2023/11/18 7:09:25 PM CET","zwischen 30 und 40","Divers","Gelb","5","5","3","3","1","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","3","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","5","5","3","4","2","4","3","5","4","1","1","2","4","3","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","1","4","3","","","","","","","","","","","","","","","","","","","","","","1","5","4","4","4","5","4","Ja"
"2023/11/18 7:58:16 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","3","2","4","4","4","3","1","2","1","4","1","5","3","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","4","5","4","","","","","","","","","","","","","","","","","","","","","","1","3","3","5","3","5","4","5","4","1","5","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","1","4","3","","","","","","","","Ja"
"2023/11/19 11:06:10 AM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","3","3","3","4","1","3","2","1","3","3","4","4","3","2","","","","","","","","","","","","","","","","","","","","","","3","4","3","4","4","4","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","4","4","4","4","2","3","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","2","3","2","3","2","2","3","","","","","","","","Ja"
"2023/11/19 7:44:34 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","3","3","4","4","4","2","1","1","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","4","4","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","4","5","4","5","4","2","5","3","4","2","","","","","","","","","","","","","","","","","","","","","","1","4","1","4","2","3","2","","","","","","","","Ja"
"2023/11/19 8:15:04 PM CET","zwischen 30 und 40","Weiblich","Grün","","","","","","","","","","","","","","","5","1","2","3","1","3","1","1","4","1","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","5","5","4","4","3","3","","","","","","","","","","","","","","","","","","","","","","1","5","1","4","3","1","1","5","5","1","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","4","1","1","1","1","1","","","","","","","","Ja"
"2023/11/20 9:35:03 AM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","4","3","2","2","2","2","2","1","4","2","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","2","4","3","","","","","","","","","","","","","","","","","","","","","","1","4","3","3","2","4","2","5","4","1","4","1","2","3","","","","","","","","","","","","","","","","","","","","","","2","4","2","3","3","3","3","","","","","","","","Ja"
"2023/11/20 10:29:44 AM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","1","1","1","2","1","2","1","1","1","2","2","1","2","2","","","","","","","","","","","","","","","","","","","","","","4","3","2","3","2","3","3","","","","","","","","","","","","","","","","","","","","","","1","3","3","4","3","3","3","4","2","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","3","3","3","","","","","","","","Ja"
"2023/11/20 1:17:34 PM CET","zwischen 40 und 60","Männlich","Grün","","","","","","","","","","","","","","","2","4","3","4","2","2","1","1","2","2","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","3","4","2","5","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","3","3","5","2","3","2","5","2","1","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","2","4","2","3","2","3","2","","","","","","","","Ja"
"2023/11/20 4:41:47 PM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","5","4","3","4","2","5","2","1","4","2","4","1","4","3","","","","","","","","","","","","","","","","","","","","","","4","4","2","4","2","4","2","","","","","","","","","","","","","","","","","","","","","","2","4","3","4","3","3","2","5","4","2","4","3","4","2","","","","","","","","","","","","","","","","","","","","","","2","4","4","4","2","3","4","","","","","","","","Ja"
"2023/11/20 8:33:48 PM CET","zwischen 40 und 60","Männlich","Grün","","","","","","","","","","","","","","","4","2","2","2","1","3","3","1","1","2","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","5","4","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","5","5","3","1","5","1","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","5","4","4","5","4","3","","","","","","","","Ja"
"2023/11/20 8:39:40 PM CET","unter 30","Weiblich","Lila","","","","","","","","4","5","4","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","2","1","4","5","3","5","5","1","2","","","","","","","","","","","","","","","","","","","","","","1","1","2","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","4","2","3","4","4","4","3","1","1","2","3","3","4","2","","","","","","","","","","","","","","","Ja"
"2023/11/21 9:43:16 AM CET","zwischen 30 und 40","Weiblich","Lila","","","","","","","","5","1","2","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","1","5","1","2","4","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","1","2","4","1","4","3","1","1","1","2","1","2","1","","","","","","","","","","","","","","","Ja"
"2023/11/21 5:11:10 PM CET","zwischen 40 und 60","Männlich","Gelb","3","2","1","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","4","1","2","3","","","","","","","","","","","","","","","","","","","","","","5","1","1","4","1","3","2","5","1","1","5","3","3","1","","","","","","","","","","","","","","","","","","","","","","5","1","3","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","4","3","5","4","4","3","Ja"
"2023/11/21 6:32:09 PM CET","unter 30","Weiblich","Gelb","5","2","4","4","3","3","4","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","3","4","2","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","4","4","5","5","4","3","4","3","3","2","","","","","","","","","","","","","","","","","","","","","","5","4","4","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","3","2","3","Ja"
"2023/11/21 8:06:46 PM CET","zwischen 40 und 60","Männlich","Gelb","2","3","2","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","3","1","","","","","","","","","","","","","","","","","","","","","","4","5","3","5","4","4","4","4","2","2","3","3","3","2","","","","","","","","","","","","","","","","","","","","","","5","4","4","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","5","2","4","Ja"
"2023/11/21 8:12:53 PM CET","zwischen 40 und 60","Weiblich","Lila","","","","","","","","4","3","2","2","3","4","2","","","","","","","","","","","","","","","","","","","","","","1","2","2","3","2","3","3","5","4","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","4","2","3","4","3","4","3","1","3","1","4","1","4","2","","","","","","","","","","","","","","","Ja"
"2023/11/21 8:38:55 PM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","3","1","1","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","1","2","4","1","3","1","1","4","5","5","5","5","5","","","","","","","","","","","","","","","","","","","","","","1","5","3","4","2","4","1","","","","","","","","","","","","","","","","","","","","","","4","1","3","4","3","4","3","1","5","2","4","3","3","2","","","","","","","","","","","","","","","Ja"
"2023/11/21 10:42:12 PM CET","zwischen 30 und 40","Männlich","Gelb","4","1","1","3","3","4","1","","","","","","","","","","","","","","","","","","","","","","1","1","4","5","3","5","3","","","","","","","","","","","","","","","","","","","","","","5","5","1","5","4","3","4","5","4","2","4","3","3","2","","","","","","","","","","","","","","","","","","","","","","5","3","5","5","3","4","2","","","","","","","","","","","","","","","","","","","","","","1","5","5","5","5","3","4","Ja"
"2023/11/22 7:27:38 AM CET","über 60","Männlich","Lila","","","","","","","","5","1","2","4","3","4","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","1","2","1","5","5","3","5","5","5","3","","","","","","","","","","","","","","","","","","","","","","1","1","3","4","2","2","2","","","","","","","","","","","","","","","","","","","","","","5","2","2","5","3","4","2","1","1","3","4","2","2","1","","","","","","","","","","","","","","","Ja"
"2023/11/22 7:47:59 AM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","5","1","3","5","1","5","3","","","","","","","","","","","","","","","","","","","","","","1","1","1","5","1","5","1","5","4","1","5","3","1","1","","","","","","","","","","","","","","","","","","","","","","1","2","1","5","1","5","1","","","","","","","","","","","","","","","","","","","","","","5","1","1","5","1","4","1","1","2","1","5","1","5","3","","","","","","","","","","","","","","","Ja"
"2023/11/22 7:49:54 AM CET","über 60","Männlich","Gelb","3","1","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","3","4","2","4","2","3","2","3","3","3","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","3","2","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","3","2","3","2","3","2","Ja"
"2023/11/22 8:08:44 AM CET","zwischen 30 und 40","Männlich","Gelb","4","4","2","5","2","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","2","3","1","","","","","","","","","","","","","","","","","","","","","","5","4","3","4","3","4","1","5","2","2","4","2","3","1","","","","","","","","","","","","","","","","","","","","","","5","2","2","3","2","4","1","","","","","","","","","","","","","","","","","","","","","","4","3","2","3","2","4","2","Ja"
"2023/11/22 8:49:42 AM CET","zwischen 40 und 60","Männlich","Gelb","4","1","2","4","2","3","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","5","1","3","1","","","","","","","","","","","","","","","","","","","","","","5","5","3","5","4","4","2","5","5","2","4","1","2","2","","","","","","","","","","","","","","","","","","","","","","5","2","3","4","3","4","3","","","","","","","","","","","","","","","","","","","","","","1","5","4","5","4","4","3","Ja"
"2023/11/22 8:58:22 AM CET","zwischen 40 und 60","Männlich","Gelb","3","2","3","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","5","4","3","4","4","4","3","4","4","3","4","4","4","3","","","","","","","","","","","","","","","","","","","","","","3","3","3","3","3","3","2","","","","","","","","","","","","","","","","","","","","","","1","4","3","4","4","4","3","Ja"
"2023/11/22 10:43:03 AM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","5","1","1","3","1","4","3","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","2","1","5","4","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","5","1","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","5","2","4","2","3","3","1","5","1","2","3","2","1","","","","","","","","","","","","","","","Ja"
"2023/11/22 3:00:14 PM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","5","1","1","3","2","4","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","2","1","5","4","2","4","2","5","2","","","","","","","","","","","","","","","","","","","","","","1","3","1","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","5","3","1","3","1","4","1","1","4","1","3","1","4","1","","","","","","","","","","","","","","","Ja"
"2023/11/23 9:15:20 AM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","2","1","2","4","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","4","5","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","2","1","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","3","4","3","4","4","3","2","1","4","1","3","2","2","1","","","","","","","","","","","","","","","Ja"
"2023/11/23 9:51:26 AM CET","zwischen 40 und 60","Männlich","Gelb","3","1","1","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","4","5","1","2","1","3","1","5","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","4","2","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","1","1","Ich weiss es nicht"
"2023/11/23 1:15:27 PM CET","unter 30","Männlich","Lila","","","","","","","","5","3","4","5","3","5","3","","","","","","","","","","","","","","","","","","","","","","1","3","2","2","1","1","2","5","5","5","5","4","4","3","","","","","","","","","","","","","","","","","","","","","","1","4","3","3","2","2","2","","","","","","","","","","","","","","","","","","","","","","4","5","3","4","3","3","3","1","3","3","4","2","4","1","","","","","","","","","","","","","","","Ja"
"2023/11/24 11:18:32 AM CET","zwischen 40 und 60","Weiblich","Lila","","","","","","","","5","1","1","4","3","3","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","3","2","1","5","5","4","4","4","4","3","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","3","2","2","","","","","","","","","","","","","","","","","","","","","","5","4","4","4","4","4","4","1","2","2","3","3","3","2","","","","","","","","","","","","","","","Ich weiss es nicht"
"2023/11/24 12:24:44 PM CET","zwischen 30 und 40","Männlich","Lila","","","","","","","","5","1","2","5","2","4","1","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","1","1","3","5","5","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","1","4","5","2","4","2","","","","","","","","","","","","","","","","","","","","","","5","4","2","4","1","2","1","1","5","1","5","1","3","1","","","","","","","","","","","","","","","Ja"
"2023/11/24 5:07:46 PM CET","zwischen 40 und 60","Männlich","Lila","","","","","","","","4","2","1","1","3","2","1","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","3","1","1","4","4","2","2","2","2","1","","","","","","","","","","","","","","","","","","","","","","1","2","1","2","2","1","1","","","","","","","","","","","","","","","","","","","","","","4","4","2","2","4","2","1","1","2","2","2","3","2","2","","","","","","","","","","","","","","","Ja"
"2023/11/25 6:40:02 PM CET","unter 30","Weiblich","Gelb","4","3","3","4","2","4","2","","","","","","","","","","","","","","","","","","","","","","1","2","2","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","5","4","2","4","3","4","3","3","1","1","1","3","2","2","","","","","","","","","","","","","","","","","","","","","","5","2","3","3","4","3","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","4","3","Ja"
"2023/11/26 1:13:02 PM CET","zwischen 30 und 40","Männlich","Gelb","4","2","3","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","1","2","2","3","3","3","2","","","","","","","","","","","","","","","","","","","","","","4","5","3","4","4","4","2","4","2","3","3","3","4","3","","","","","","","","","","","","","","","","","","","","","","5","4","4","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","1","5","4","4","4","4","4","Ja"
"2023/11/26 1:58:14 PM CET","zwischen 30 und 40","Männlich","Gelb","2","3","3","3","2","3","1","","","","","","","","","","","","","","","","","","","","","","1","2","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","3","3","4","4","4","4","3","3","3","3","3","3","2","2","","","","","","","","","","","","","","","","","","","","","","4","3","4","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","4","4","3","4","3","3","4","Ja"
"2023/11/26 1:59:08 PM CET","zwischen 30 und 40","Männlich","Gelb","1","2","2","5","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","2","2","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","5","3","1","4","1","3","1","5","3","2","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","5","3","2","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","4","3","4","1","3","2","Ja"
"2023/11/26 7:19:17 PM CET","zwischen 30 und 40","Männlich","Gelb","4","2","1","3","2","5","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","2","4","1","","","","","","","","","","","","","","","","","","","","","","5","4","4","4","4","5","4","5","2","2","4","2","4","1","","","","","","","","","","","","","","","","","","","","","","5","3","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","2","4","3","5","2","Ja"
"2023/11/26 7:43:24 PM CET","zwischen 30 und 40","Männlich","Gelb","4","2","2","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","3","2","4","2","3","2","5","2","2","3","1","2","2","","","","","","","","","","","","","","","","","","","","","","5","3","3","4","3","3","2","","","","","","","","","","","","","","","","","","","","","","1","2","2","3","1","1","2","Ja"
"2023/11/26 10:20:57 PM CET","zwischen 30 und 40","Männlich","Gelb","5","2","2","3","1","3","2","","","","","","","","","","","","","","","","","","","","","","1","1","1","3","1","3","1","","","","","","","","","","","","","","","","","","","","","","5","5","2","5","3","4","2","5","4","1","3","2","4","2","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","4","3","Ja"
"2023/11/27 4:22:04 PM CET","zwischen 30 und 40","Weiblich","Grün","","","","","","","","","","","","","","","3","1","2","2","1","2","2","1","4","4","3","2","1","4","","","","","","","","","","","","","","","","","","","","","","3","2","2","3","1","1","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","3","4","4","4","3","1","2","1","1","1","","","","","","","","","","","","","","","","","","","","","","2","2","1","3","1","2","2","","","","","","","","Ja"
"2023/11/28 7:53:14 AM CET","zwischen 40 und 60","Männlich","Grün","","","","","","","","","","","","","","","3","4","1","1","1","2","1","1","4","1","1","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","5","2","2","1","3","2","","","","","","","","","","","","","","","","","","","","","","1","5","2","2","1","3","1","5","5","1","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","5","1","2","1","2","1","","","","","","","","Ja"